Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin IVA
P25CON032434983,ACTIVA,NORMAL,ES0031405290900002WC,04/06/2025,05/07/2025,10/07/2025,,,,,295.14,"RD PONENT 8, BJO,",Sabadell,Barcelona,SABADELL,0810 - Sabadell,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,538042,49776,50202,425.86,20268,20691,423.38,8527,8735,207.92,,,0.00,,,0.00,,,0.00,"1,057.16",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,243.86,35.20,0.00,14.29,1.39,61.98,0.00,0.40,,,357.12,,,,,,,0.00,19029632,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434998,ACTIVA,NORMAL,ES0031104135323002RV,04/06/2025,04/07/2025,10/07/2025,,,,,292.27,"Av. Reina Sofía, s/n., bloque 1",Mérida,Badajoz,MÉRIDA,0603 - Mérida,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,200057630,48442,48892,450.18,16809,17252,443.03,8598,8742,144.10,,,0.00,,,0.00,,,0.00,"1,037.31",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,13.86,13.86,0.00,0.00,0.00,0.00,244.94,31.46,0.00,14.15,1.34,61.38,0.00,0.38,,,353.65,,,,,,,0.00,19029647,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON033250700,ACTIVA,NORMAL,ES0031405016160002LB,11/06/2025,04/07/2025,13/07/2025,,,,,"1,161.59","Av. de Jaume I, 190",Mollet del Vallès,Barcelona,MOLLET DEL VALLÉS,0814 - Mollet Del Vallés,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,2516412,193333,193865,532.00,488022,488394,372.00,106588,108196,"1,608.00",44800,45902,"1,102.00",44919,44919,0.00,54834,55800,966.00,"4,580.00",49719,49770,43.00,114872,114910,31.00,18806,18925,94.00,7214,7292,52.00,10288,10288,0.00,4105,4116,0.00,220.00,24,24.00,24,24.00,0,0.00,0,0.00,0,0.00,20,20.00,24.00,50.00,50.00,50.00,50.00,50.00,50.00,963.52,130.88,0.00,55.95,11.24,243.93,0.00,0.00,,,"1,405.52",,,,,,,0.00,19044681,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434988,ACTIVA,NORMAL,ES0022000008995552AD,02/06/2025,02/07/2025,10/07/2025,,,,,13.86,"Calle Rua José Fariña Ferreño 13, Bajo",Vilagarcía de Arousa,Pontevedra,VILAGARCIA DE AROUSA,3603 - Vilagarcia De Arousa,ASEPEYO,G08215824,2.0TD,ENDESA,,SIN LECTURA,141230691,39454,39454,0.00,28204,28204,0.00,6621,6621,0.00,,,0.00,,,0.00,,,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,5.75,5.75,0.00,0.00,0.00,0.00,0.00,13.06,0.00,0.00,0.80,2.91,0.00,0.00,,,16.77,,,,,,,0.00,19029637,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434992,ACTIVA,NORMAL,ES0031406277612002GZ,03/06/2025,02/07/2025,10/07/2025,,,,,30.66,"AUME CASANOVAS 190, BJO-1,","Prat de Llobregat, El",Barcelona,EL PRAT DE LLOBREGAT SOS,0815 - El Prat De Llobregat Sos,ASEPEYO,G08215824,2.0TD,ENDESA,,SIN LECTURA,463900,81,81,0.00,86,86,0.00,3,3,0.00,,,0.00,,,0.00,,,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,13.20,13.20,0.00,0.00,0.00,0.00,0.00,28.97,0.00,0.02,1.30,6.44,0.00,0.37,,,37.10,,,,,,,0.00,19029641,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON036086780,ACTIVA,NORMAL,ES0022000004989841KR,29/05/2025,02/07/2025,01/08/2025,,,,,229.82,"Rua José Fariña Ferreño, 13 bajo",Vilagarcía de Arousa,Pontevedra,VILAGARCIA DE AROUSA,3603 - Vilagarcia De Arousa,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,45734905,6389,6393,4.00,6194,6196,2.00,1442,1545,103.00,2186,2277,91.00,1551,1574,23.00,2563,2668,105.00,328.00,3657,3659,2.00,3179,3180,1.00,663,683,20.00,593,609,16.00,303,303,0.00,472,474,2.00,41.00,1,1.70,1,1.48,0,0.00,0,0.00,0,0.00,1,1.38,1.70,25.00,52.80,52.80,52.80,52.80,52.80,63.24,153.39,0.04,11.08,2.07,48.26,0.00,0.00,,,278.08,,,,,,,0.00,19112177,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032435001,ACTIVA,NORMAL,ES0022000008919523DH,02/06/2025,02/07/2025,10/07/2025,,,,,783.19,"Gl. Poeta Uxio Novoneira, 1",Ferrol,"Coruña, A",FERROL,1502 - Ferrol,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,68076,129699,130336,77.00,400425,401902,54.00,129772,130240,988.00,18216,18323,690.00,53868,54191,0.00,36100,36275,"1,378.00","3,187.00",11346,11383,0.00,35311,35411,0.00,12793,12876,0.00,2100,2125,0.00,6449,6524,0.00,4390,4441,0.00,0.00,16,16.00,21,21.00,13,13.00,7,7.00,8,8.00,5,5.00,21.00,31.00,50.00,50.00,50.00,50.00,50.00,605.09,140.01,0.00,38.09,0.00,164.47,0.00,0.00,,,947.66,,,,,,,0.00,19029649,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434995,ACTIVA,NORMAL,ES0031405650793004AQ,03/06/2025,01/07/2025,10/07/2025,,,,,105.83,"AV CATALUNYA 45, 1-1,",Tarragona,Tarragona,TARRAGONA OFICINA,"4301 - TARRAGONA PISO - AV CATALUNYA 45, 1-1,",ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,203901013,23311,23482,170.97,6764,6936,171.43,1703,1740,36.50,,,0.00,,,0.00,,,0.00,378.90,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,4.40,4.40,0.00,0.00,0.00,0.00,90.64,9.33,0.00,5.11,0.75,22.22,0.00,0.00,,,128.05,,,,,,,0.00,19029644,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032783521,ACTIVA,NORMAL,ES0022000004986538SX,31/05/2025,01/07/2025,12/07/2025,,,,,617.89,"Avda. Alfonso Molina, 8","Coruña, A","Coruña, A",A CORUÑA,1501 - A Coruña,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47991059,23136,23194,58.00,27862,27897,35.00,18562,19624,"1,062.00",21803,22549,746.00,10491,10491,0.00,46428,47181,753.00,"2,654.00",31,31,0.00,43,43,0.00,16,17,1.00,17,17,0.00,8,8,0.00,432,433,1.00,2.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,13.00,19.00,19.00,19.00,19.00,80.00,521.99,64.05,0.00,29.96,1.89,129.76,0.00,0.00,,,747.65,,,,,,,0.00,19068881,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031461059,ACTIVA,NORMAL,ES0021000010451115XG,31/05/2025,30/06/2025,04/07/2025,,,,,313.49,CALLE BANDERAS DE CASTILLA Nº2,Talavera de la Reina,Toledo,TALAVERA DE LA REINA,4503 - Talavera De La Reina,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47520132,18848,18848,0.00,40274,40274,0.00,11332,11899,567.00,9122,9408,286.00,5959,5959,0.00,14027,14393,366.00,"1,219.00",9661,9661,0.00,21924,21924,0.00,3775,4085,310.00,2610,2743,133.00,756,756,0.00,848,979,131.00,574.00,0,0.00,0,0.00,13,13.90,14,14.25,0,0.00,11,11.68,14.25,11.00,16.00,19.00,19.00,19.00,19.00,236.46,49.42,6.71,14.96,5.94,65.83,0.00,0.00,,,379.32,,,,,,,0.00,19014377,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON033697938,ACTIVA,NORMAL,ES0026000000233295YE,31/05/2025,30/06/2025,16/07/2025,,,,,712.30,"General Elorza, 26-28",Oviedo,Asturias,OVIEDO,3302 - Oviedo,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,46161533,98209,98209,0.00,207522,207522,0.00,96855,97968,"1,113.00",51353,52016,663.00,58526,58526,0.00,157123,158194,"1,071.00","2,847.00",30066,30066,0.00,65720,65720,0.00,41446,41593,147.00,13439,13577,138.00,24130,24130,0.00,67315,67495,180.00,465.00,0,0.00,0,0.00,21,21.94,19,19.95,0,0.00,24,24.34,24.34,37.70,37.70,37.70,37.70,37.70,37.70,541.28,128.71,0.00,34.25,8.06,149.58,0.00,0.00,,,861.88,,,,,,,0.00,19044687,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031461048,ANULADA,NORMAL,ES0021000004371057KL,31/05/2025,30/06/2025,04/07/2025,,,,,887.61,"San Vicente, 7",Getafe,Madrid,GETAFE,2814 - Getafe,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49890960,57732,57732,0.00,75309,75309,0.00,44805,46413,"1,608.00",33611,34710,"1,099.00",14697,14697,0.00,39432,40181,749.00,"3,456.00",3059,3059,0.00,4568,4568,0.00,5001,5001,0.00,2312,2312,0.00,1165,1165,0.00,5568,5569,1.00,1.00,0,0.00,0,0.00,31,31.66,27,27.48,0,0.00,12,12.93,31.66,37.00,49.00,49.00,49.00,49.00,105.00,682.77,154.16,0.00,42.79,7.89,186.39,0.00,0.00,,,"1,074.00",,,,,,,0.00,19014367,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COY000243539,ACTIVA,RECTIFICATIVA,ES0021000004371057KL,31/05/2025,30/06/2025,07/07/2025,,,,,887.61,"San Vicente, 7",Getafe,Madrid,GETAFE,2814 - Getafe,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49890960,57732,57732,0.00,75309,75309,0.00,44805,46413,"1,608.00",33611,34710,"1,099.00",14697,14697,0.00,39432,40181,749.00,"3,456.00",3059,3059,0.00,4568,4568,0.00,5001,5001,0.00,2312,2312,0.00,1165,1165,0.00,5568,5569,1.00,1.00,0,0.00,0,0.00,31,31.66,27,27.48,0,0.00,12,12.93,31.66,37.00,49.00,49.00,49.00,49.00,105.00,682.77,154.16,0.00,42.79,7.89,186.40,0.00,0.00,,P25CON031461048,"1,074.01",,,,,,,0.00,19228086,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON033894874,ACTIVA,NORMAL,ES0031405968956002BN,31/05/2025,30/06/2025,17/07/2025,,,,,"10,542.38","VIA AUGUSTA 34, BJO",Barcelona,Barcelona,"VIA AUGUSTA, 36","8000 - Via Augusta, 36",ASEPEYO,G08215824,3.0TD,ENDESA,,ESTIMADA,53002900,1473747,1,0.00,3679215,1,0.00,1658690,1,"19,580.00",878759,892636,"13,877.00",1371148,1,0.00,2632400,1,"15,304.00","48,761.00",3804,3804,0.00,6466,6466,0.00,5363,5363,0.00,6424,6424,0.00,6404,6404,0.00,38848,38848,0.00,0.00,0,0.00,0,0.00,103,103.60,94,94.40,0,0.00,39,39.85,103.60,178.00,178.00,178.00,178.00,178.00,330.00,"9,404.94",624.66,0.00,512.78,0.00,"2,213.90",0.00,0.00,,,"12,756.28",,,,,,,0.00,19044693,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COR001173864,ACTIVA,COMPLEMENTARIA,ES0031405895179001XL,31/05/2025,30/06/2025,21/08/2025,,,,,55.08,"Longitudinal 7, núm. 158",Barcelona,Barcelona,MERCABARNA,0826 - Mercabarna,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,300017062,7419,7419,0.00,9817,9817,0.00,7514,7913,116.00,7615,7931,83.00,3544,3544,0.00,21930,22318,69.00,268.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,8.00,10.00,10.00,10.00,10.00,40.00,52.40,0.00,0.00,2.68,0.00,11.56,0.00,0.00,,,66.64,,,,,,,0.00,19185281,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031265023,ACTIVA,NORMAL,ES0022000005732417ZE,01/06/2025,30/06/2025,02/07/2025,,,,,"71,339.89","Calle Joaquin de Cárdenas, 2",Coslada,Madrid,Hospital de Coslada,"2888 - Hospital de Coslada - Calle Joaquin de Cárdenas, 2",ASEPEYO,G08215824,6.1TD,ENDESA,,REAL,,,,0.00,,,0.00,,,"122,140.00",,,"90,084.00",,,0.00,,,"174,492.00","386,716.00",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,828.00,,856.00,,0.00,,708.00,856.00,805.00,805.00,805.00,805.00,805.00,900.00,"63,886.80","3,874.44",0.00,"3,467.45",52.11,"14,981.38",0.00,0.00,,,"86,321.27",,,,,,,59.09,19018772,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
N25CON003015591,ACTIVA,NORMAL,ES0031601327612002EM,31/05/2025,30/06/2025,07/07/2025,,,,,"1,177.54",N/A Partera Leonorita 4 - 35100,San Fernando,Cádiz,GRAN CANARIA SUR,3502 - Gran Canaria Sur,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,88515031,55952,55952,0.00,64458,64458,0.00,45039,45039,0.00,46569,48927,"2,358.00",24535,25896,"1,361.00",48760,49630,870.00,"4,589.00",4219,4219,0.00,2537,2537,0.00,3723,3723,0.00,2940,3145,153.00,1692,1836,89.00,1369,1396,0.00,242.00,0,0.00,0,0.00,0,0.00,28,28.00,28,28.00,24,24.00,28.00,60.00,60.00,60.00,60.00,60.00,60.00,886.93,204.86,0.00,55.84,29.53,36.51,0.00,0.38,,,"1,214.05",,,,,,,0.00,19029571,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434997,ACTIVA,NORMAL,ES0031405895179001XL,31/05/2025,30/06/2025,10/07/2025,,,,,212.94,"Longitudinal 7, núm. 158",Barcelona,Barcelona,MERCABARNA,0826 - Mercabarna,ASEPEYO,G08215824,3.0TD,ENDESA,,ESTIMADA,300017062,7419,7419,0.00,9817,9817,0.00,7514,7797,283.00,7615,7848,233.00,3544,3544,0.00,21930,22249,319.00,835.00,36,36,0.00,39,39,0.00,43,43,0.00,46,46,0.00,8,8,0.00,172,172,0.00,0.00,0,0.00,0,0.00,3,3.04,3,3.15,0,0.00,2,2.00,3.15,8.00,10.00,10.00,10.00,10.00,40.00,158.19,34.26,0.00,9.84,10.65,44.72,0.00,0.00,,,257.66,,,,,,,0.00,19029646,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031356870,ACTIVA,NORMAL,ES0021000002276644VD,31/05/2025,30/06/2025,03/07/2025,,,,,908.77,"Avda. Hernán Cortés, 36",Cáceres,Cáceres,CÁCERES,1001 - Cáceres,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,35044813,38061,38061,0.00,65859,65859,0.00,29981,31554,"1,573.00",26537,28046,"1,509.00",12506,12506,0.00,27534,28214,680.00,"3,762.00",5868,5868,0.00,9590,9590,0.00,5232,5493,261.00,5064,5328,264.00,1801,1801,0.00,1414,1456,42.00,567.00,0,0.00,0,0.00,26,26.12,28,28.18,0,0.00,18,18.73,28.18,24.00,38.00,38.00,45.00,45.00,45.00,747.56,111.36,0.00,43.91,5.94,190.84,0.00,0.00,,,"1,099.61",,,,,,,0.00,19014338,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031775740,ACTIVA,NORMAL,ES0031300014540042CA,31/05/2025,30/06/2025,07/07/2025,,,,,"2,047.84","Avda.  de Navarra, 71-73",Zaragoza,Zaragoza,ZARAGOZA,5001 - Zaragoza,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,61426,325409,325409,0.00,846365,846365,0.00,239224,243174,"3,950.00",83641,86320,"2,679.00",72425,72425,0.00,159032,161199,"2,167.00","8,796.00",74303,74303,0.00,203550,203550,0.00,29755,29917,40.00,1291,1412,23.00,1037,1037,0.00,4106,4150,0.00,63.00,0,0.00,0,0.00,52,52.00,52,52.00,0,0.00,52,52.00,52.00,47.00,65.00,65.00,65.00,65.00,82.00,"1,725.41",194.73,0.00,98.17,29.53,430.05,0.00,0.00,,,"2,477.89",,,,,,,0.00,19029580,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032434994,ACTIVA,NORMAL,ES0031405868114001CQ,31/05/2025,30/06/2025,10/07/2025,,,,,635.14,"Pg. de Catalunya, s/n",Martorell,Barcelona,MARTORELL-2,0824 - Martorell-2,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,94972073,126345,126345,0.00,302787,302787,0.00,72162,73365,"1,203.00",30763,31591,828.00,35198,35198,0.00,61355,61887,532.00,"2,563.00",50801,50801,0.00,127332,127332,0.00,11738,11738,0.00,1850,1850,0.00,3362,3362,0.00,1479,1479,0.00,0.00,0,0.00,0,0.00,15,15.00,14,14.00,0,0.00,14,14.00,15.00,22.00,27.00,27.00,27.00,27.00,50.00,507.44,86.67,0.00,30.38,10.65,133.38,0.00,0.00,,,768.52,,,,,,,0.00,19029643,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031461055,ACTIVA,NORMAL,ES0021000010507536WY,31/05/2025,30/06/2025,04/07/2025,,,,,368.43,Parque Industrial Juan Carlos I,Almussafes,Valencia/València,ALMUSSAFES,4608 - Almussafes,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,186310660,20715,20715,0.00,40626,40626,0.00,19446,20253,807.00,12408,12973,565.00,6537,6537,0.00,11663,11828,165.00,"1,537.00",1880,1880,0.00,4719,4719,0.00,2134,2135,1.00,1069,1069,0.00,489,489,0.00,378,378,0.00,1.00,0,0.00,0,0.00,8,8.59,10,10.19,0,0.00,5,5.87,10.19,8.00,10.00,10.00,10.00,10.00,30.00,311.60,33.14,0.00,17.63,5.94,77.37,0.00,0.00,,,445.80,,,,,,,0.12,19014373,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25ABA000323358,ACTIVA,RECTIFICATIVA,ES0021000012180263AN,31/05/2025,30/06/2025,04/07/2025,,,,,594.89,Calle Trinidad Redal Dufaur 53,Alzira,Valencia/València,ALZIRA,4605 - Alzira,,,3.0TD,ENDESA,,REAL,47511717,39356,39356,0.00,77983,77983,0.00,29492,30715,"1,223.00",19958,20694,736.00,11467,11467,0.00,28530,29122,592.00,"2,551.00",4047,4047,0.00,8367,8367,0.00,2609,2647,38.00,2042,2056,14.00,942,942,0.00,765,770,5.00,57.00,0,0.00,0,0.00,16,16.17,14,14.93,0,0.00,9,9.28,16.17,15.82,17.00,17.00,17.00,17.00,31.17,502.60,57.70,0.00,28.65,5.94,124.92,0.00,0.00,,P25CON031461039,719.81,,,,,,,0.00,19228088,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031356869,ACTIVA,NORMAL,ES0021000004235224GR,31/05/2025,30/06/2025,03/07/2025,,,,,611.28,"Avda. de la Constitución, 63",Fuenlabrada,Madrid,FUENLABRADA,2805 - Fuenlabrada,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,22295384,32619,32619,0.00,54545,54545,0.00,22530,23564,"1,034.00",19118,20073,955.00,9535,9535,0.00,20700,21126,426.00,"2,415.00",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0,0.00,0,0.00,15,15.01,15,15.33,0,0.00,8,8.01,15.33,25.00,25.00,25.00,41.50,41.50,41.50,480.55,95.35,0.00,29.44,5.94,128.37,0.00,0.00,,,739.65,,,,,,,0.00,19014337,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031265022,ACTIVA,NORMAL,ES0031405113447001MT,01/06/2025,30/06/2025,02/07/2025,,,,,"62,454.71","Avenida de Alcalde Barnils, 54-60",Sant Cugat del Vallès,Barcelona,Hospital Sant Cugat,"885 - Hospital Sant Cugat - Avenida de Alcalde Barnils, 54-60",ASEPEYO,G08215824,6.1TD,ENDESA,,REAL,,,,0.00,,,0.00,,,"108,743.00",,,"81,431.00",,,0.00,,,"147,068.00","337,242.00",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,"51,729.00","51,729.00",,0.00,,0.00,,752.00,,752.00,,0.00,,712.00,752.00,646.00,648.00,671.00,671.00,671.00,"1,075.00","55,918.65","3,166.29",0.00,"3,037.81",0.00,"13,115.49",0.00,0.00,,,"75,570.20",,,,,,,331.96,19018770,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON032783512,ACTIVA,NORMAL,ES0031405787596002EA,31/05/2025,30/06/2025,12/07/2025,,,,,940.44,"Av. de Pau Claris, 18",Martorell,Barcelona,MARTORELL,0819 - Martorell,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,95274975,199527,199527,0.00,513464,513464,0.00,94048,95715,"1,667.00",47348,48463,"1,115.00",61340,61340,0.00,60156,61146,990.00,"3,772.00",7027,7027,0.00,16294,16294,0.00,4523,4525,0.00,2149,2150,0.00,9535,9535,0.00,1517,1519,0.00,0.00,0,0.00,0,0.00,17,17.00,17,17.00,0,0.00,9,9.00,17.00,24.00,50.00,50.00,50.00,50.00,50.00,737.09,128.70,0.00,44.27,30.38,197.49,0.00,0.00,,,"1,137.93",,,,,,,0.00,19068864,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
N25CON003232784,ACTIVA,NORMAL,ES0031607030989001EM,31/05/2025,30/06/2025,17/07/2025,,,,,"1,609.18","Avda. Juan XXIII, 8","Palmas de Gran Canaria, Las","Palmas, Las",LAS PALMAS,3501 - Las Palmas,ASEPEYO,G08215824,3.0TD,ENDESA,,ESTIMADA,502300479,0,0,0.00,1081,1081,0.00,0,0,0.00,7691,10630,"2,939.00",4430,6309,"1,879.00",11354,13545,"2,191.00","7,009.00",0,0,0.00,0,0,0.00,0,0,0.00,785,785,0.00,610,610,0.00,1695,1695,0.00,0.00,0,0.00,0,0.00,0,0.00,15,15.55,12,12.78,5,5.71,15.55,52.00,52.00,52.00,52.00,52.00,136.00,"1,315.92",186.90,0.00,76.83,29.53,49.46,0.00,0.00,,,"1,658.64",,,,,,,0.00,19044677,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON031356860,ACTIVA,NORMAL,ES0021000011885567RS,31/05/2025,30/06/2025,03/07/2025,,,,,619.46,"Calle de los Hornos Caleros, 37",Ávila,Ávila,ÁVILA,0501 - Ávila,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47922588,50776,50776,0.00,120802,120802,0.00,56062,56975,913.00,23550,24162,612.00,21561,21561,0.00,76703,77625,922.00,"2,447.00",16357,16357,0.00,39097,39097,0.00,12579,12825,246.00,6264,6488,224.00,6257,6257,0.00,29331,29755,424.00,894.00,0,0.00,0,0.00,16,16.00,15,15.97,0,0.00,14,14.08,16.00,34.00,34.00,34.00,34.00,34.00,34.00,464.81,116.09,0.92,29.75,7.89,130.09,0.00,0.00,,,749.55,,,,,,,0.00,19014323,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
N25CON003015589,ACTIVA,NORMAL,ES0031607113036005YY,31/05/2025,30/06/2025,07/07/2025,,,,,825.95,"Avda. de la Constitución,  2 bajos, locales 1 y 2",Santiago del Teide,Santa Cruz de Tenerife,TELDE,3506 - Telde,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,13015465,32165,32165,0.00,31966,31966,0.00,25026,25026,0.00,27314,28707,"1,393.00",12745,13631,886.00,71072,72614,"1,542.00","3,821.00",19399,19399,0.00,15078,15078,0.00,15464,15464,0.00,14236,14858,622.00,7598,8032,434.00,47727,48626,899.00,"1,955.00",0,0.00,0,0.00,0,0.00,14,14.00,12,12.00,8,8.00,14.00,16.00,17.00,17.00,17.00,17.00,45.00,703.47,59.54,12.63,39.66,10.65,25.21,0.00,0.00,,,851.16,,,,,,,0.00,19029569,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
