Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin IVA
P25CON041197558,ACTIVA,NORMAL,ES0021000002638315XM,31/07/2025,31/08/2025,04/09/2025,,,,,"1,672.47","Gran Vía Tárrega Monteblanco, 16",Villanueva de Castellón,Valencia/València,CASTELLÓN,1201 - Castellón,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49897820,56046,56046,0.00,69417,69417,0.00,53347,57144,"3,797.00",46175,48618,"2,443.00",14967,14967,0.00,24049,24670,621.00,"6,861.00",8689,8689,0.00,9534,9534,0.00,8325,9102,777.00,6622,7116,494.00,1686,1686,0.00,686,727,41.00,"1,312.00",0,0.00,0,0.00,43,43.56,42,42.44,0,0.00,39,39.12,43.56,39.00,66.00,66.00,66.00,66.00,66.00,"1,397.51",187.77,0.00,81.05,6.14,351.22,0.00,0.00,,,"2,023.69",,,,,,,0.00,19217039,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041511408,ACTIVA,NORMAL,ES0031300014540042CA,31/07/2025,31/08/2025,05/09/2025,,,,,"1,855.14","Avda.  de Navarra, 71-73",Zaragoza,Zaragoza,ZARAGOZA,5001 - Zaragoza,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,61426,329442,329442,0.00,848897,848897,0.00,243174,246805,"3,631.00",86320,87985,"1,665.00",72425,72425,0.00,163311,165993,"2,682.00","7,978.00",74471,74471,0.00,203675,203675,0.00,29917,30072,31.00,1412,1480,0.00,1037,1037,0.00,4179,4228,0.00,31.00,0,0.00,0,0.00,56,56.00,56,56.00,0,0.00,56,56.00,56.00,47.00,65.00,65.00,65.00,65.00,82.00,"1,534.67",201.21,0.00,88.75,30.51,389.58,0.00,0.00,,,"2,244.72",,,,,,,0.00,19229031,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041197560,ACTIVA,NORMAL,ES0021000004948743EZ,01/08/2025,31/08/2025,04/09/2025,,,,,"5,370.60",ENRIQUE LARRETA 10 MADRID,Madrid,Madrid,Chamartín,Chamartín,ASEPEYO,G08215824,6.1TD,ENDESA,,REAL,,,,0.00,,,0.00,,,"8,837.00",,,"6,116.00",,,0.00,,,"10,665.00","25,618.00",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,"1,128.00","1,128.00",,0.00,,0.00,,64.00,,64.00,,0.00,,68.00,68.00,25.00,25.00,25.00,25.00,25.00,200.00,"4,269.98",137.72,0.00,261.23,0.00,"1,127.83",0.00,0.00,,,"6,498.43",,,,,,,701.67,19217040,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COR001237347,ACTIVA,COMPLEMENTARIA,ES0021000042664300KX,31/07/2025,31/08/2025,05/09/2025,,,,,0.00,C/ MARTIN LUTHER KING 2-PROX,Torrejón de Ardoz,Madrid,TORREJÓN DE ARDOZ,2809 - Torrejón De Ardoz,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,176315284,10969,10969,0.00,24284,24284,0.00,5498,5701,0.00,4427,4562,0.00,3148,3148,0.00,4439,4588,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,43.00,43.00,43.00,43.00,43.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,,,,,0.00,19231458,,,,,,,,,,,,,0.00,0.00,0.00,,TRUE,,,
P25CON041511418,ACTIVA,NORMAL,ES0022000005146640FD,31/07/2025,31/08/2025,05/09/2025,,,,,391.94,"Avda. 1º de Mayo, 42",Puertollano,Ciudad Real,PUERTOLLANO,1302 - Puertollano,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,45738564,15963,15963,0.00,14917,14917,0.00,11901,12518,617.00,11942,12281,339.00,4054,4054,0.00,25905,26480,575.00,"1,531.00",4749,4749,0.00,4258,4258,0.00,3163,3163,0.00,2288,2288,0.00,645,645,0.00,3852,3852,0.00,0.00,0,0.00,0,0.00,9,9.61,7,7.13,0,0.00,6,6.88,9.61,20.00,24.00,24.00,24.00,24.00,39.80,291.27,79.81,0.00,18.97,1.89,82.31,0.00,0.00,,,474.25,,,,,,,0.00,19229051,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041807862,ACTIVA,NORMAL,ES0405000000000277BE,31/07/2025,31/08/2025,08/09/2025,,,,,582.47,CALLE C/ SAN CRISTOBAL 8 LOCAL BAJO esquina C/ ALMERIA Nº 63 - 14400,Pozoblanco,Córdoba,POZOBLANCO,1403 - Pozoblanco,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,ZIV0050321577,19904,19904,0.00,19534,19534,0.00,14152,15317,"1,165.00",14702,15256,554.00,5055,5055,0.00,32870,33413,543.00,"2,262.00",70,70,0.00,60,60,0.00,37,43,6.00,29,33,4.00,9,9,0.00,55,56,1.00,11.00,0,0.00,0,0.00,16,16.43,16,16.76,0,0.00,6,6.99,16.76,30.00,30.00,30.00,30.00,30.00,35.00,445.55,106.41,0.00,28.22,2.29,122.32,0.00,0.00,,,704.79,,,,,,,0.00,19251311,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COR001237394,ACTIVA,COMPLEMENTARIA,ES0021000002078282VE,31/07/2025,31/08/2025,05/09/2025,,,,,0.00,"Vitoria, 54 bjo.",Burgos,Burgos,BURGOS,0901 - Burgos,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,49516493,70952,70952,0.00,120782,120782,0.00,58125,58965,0.00,39125,39806,0.00,29863,29863,0.00,180264,180733,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,38.00,60.00,60.00,60.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,,,,,0.00,19232601,,,,,,,,,,,,,0.00,0.00,0.00,,TRUE,,,
P25COR001237349,ACTIVA,COMPLEMENTARIA,ES0021000009322654MS,31/07/2025,31/08/2025,05/09/2025,,,,,0.00,"Av. de Salamanca, 1 -Edificio Duque de Lerma-",Valladolid,Valladolid,VALLADOLID,4701 - Valladolid,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,49884210,187039,187039,0.00,275490,275490,0.00,140068,146030,0.00,103212,106471,0.00,56262,56262,0.00,210028,211829,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,52.00,52.00,52.00,150.00,150.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,,,,,0.00,19231478,,,,,,,,,,,,,0.00,0.00,0.00,,TRUE,,,
P25CON041064660,ACTIVA,NORMAL,ES0031101306940001FH,31/07/2025,31/08/2025,03/09/2025,,,,,"1,082.59","Avda. América, 7",Córdoba,Córdoba,CÓRDOBA,1401 - Córdoba,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,95390385,188720,188720,0.00,432249,432249,0.00,152044,154378,"2,334.00",50658,51880,"1,222.00",41641,41641,0.00,69520,70250,730.00,"4,286.00",7098,7098,0.00,18512,18512,0.00,7752,7753,0.00,1894,1895,0.00,2974,2974,0.00,1914,1914,0.00,0.00,0,0.00,0,0.00,40,40.00,36,36.00,0,0.00,16,16.00,40.00,40.00,40.00,40.00,40.00,40.00,55.00,858.05,142.86,0.00,51.17,30.51,227.34,0.00,0.00,,,"1,309.93",,,,,,,0.00,19216997,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041197557,ACTIVA,NORMAL,ES0021000004982444SC,31/07/2025,31/08/2025,04/09/2025,,,,,640.61,"Francisco Silvela, 79-81",Madrid,Madrid,MADRID - FRANCISCO SILVELA,2801 - Madrid - Francisco Silvela,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49517583,247570,247570,0.00,407575,407575,0.00,248789,248875,86.00,192024,192082,58.00,98977,98977,0.00,335709,335741,32.00,176.00,17236,17236,0.00,29932,29932,0.00,18794,18800,6.00,16051,16056,5.00,7128,7128,0.00,22702,22703,1.00,12.00,0,0.00,0,0.00,3,3.57,3,3.19,0,0.00,2,2.47,3.57,124.00,191.00,191.00,191.00,191.00,248.00,35.07,568.54,0.00,30.86,6.14,134.53,0.00,0.00,,,775.14,,,,,,,0.00,19217038,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
