Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin impuestos (€)
P26AGN000002246,ACTIVA,NORMAL,ES0031500125062001QZ,30/11/2025,31/12/2025,02/02/2026,,,,,423.04,"Ramón Berenguer III, 12",Palma,"Balears, Illes",PALMA DE MALLORCA,0701 - Palma De Mallorca ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502509373,4124,4124,0.00,3574,3574,0.00,507,1103,596.00,605,1100,495.00,591,591,0.00,3964,4464,500.00,"1,591.00",1106,1106,0.00,1048,1048,0.00,176,405,229.00,238,430,192.00,215,215,0.00,3021,3479,458.00,879.00,0,0.00,0,0.00,16,16.00,16,16.00,0,0.00,4,4.00,16.00,57.20,57.20,57.20,57.20,57.20,57.20,168.71,201.80,2.53,19.09,30.51,88.84,0.00,0.40,,,511.88,,,,,,,0.00,20049122,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000003990520JV,30/11/2025,31/12/2025,02/02/2026,,,,,"1,360.00","Pº de Chopera, 28-30",Alcobendas,Madrid,ALCOBENDAS,2811 - Alcobendas ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47928559,54379,56993,"2,614.00",83113,84650,"1,537.00",44943,44943,0.00,37253,37253,0.00,16039,16039,0.00,28759,29381,622.00,"4,773.00",27742,28477,687.00,40673,41183,448.00,28568,28568,0.00,22654,22654,0.00,8012,8012,0.00,1359,1370,0.00,"1,135.00",58,58.64,54,54.05,0,0.00,0,0.00,0,0.00,34,34.35,58.64,34.00,66.00,66.00,66.00,66.00,66.00,774.63,179.42,0.00,65.75,8.15,285.60,0.00,0.40,,,"1,645.60",,,,,,,331.65,20049151,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0405000000000277BE,30/11/2025,31/12/2025,02/02/2026,,,,,555.59,CALLE C/ SAN CRISTOBAL 8 LOCAL BAJO esquina C/ ALMERIA Nº 63 - 14400,Pozoblanco,Córdoba,POZOBLANCO,1403 - Pozoblanco,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,ZIV0050321577,19904,21371,"1,467.00",20917,21544,627.00,16693,16693,0.00,16311,16311,0.00,5422,5422,0.00,35052,35598,546.00,"2,640.00",70,73,3.00,63,64,1.00,44,44,0.00,33,33,0.00,9,9,0.00,56,56,0.00,4.00,19,19.90,20,20.56,0,0.00,0,0.00,0,0.00,6,6.20,20.56,30.00,30.00,30.00,30.00,30.00,35.00,419.58,106.41,0.00,26.91,2.29,116.67,0.00,0.40,,,672.26,,,,,,,0.00,20049150,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
N26AGN000000483,ACTIVA,NORMAL,ES0031601107316021XW,30/11/2025,31/12/2025,02/02/2026,,,,,286.56,"Gómez Ulla, 62","Palmas de Gran Canaria, Las","Palmas, Las",LAS PALMAS - LANZAROTE,3503 - Las Palmas - Lanzarote ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,68532203,87605,87605,0.00,117145,117613,468.00,50485,50750,265.00,34984,34984,0.00,21257,21257,0.00,33626,33923,297.00,"1,030.00",57718,57718,0.00,66771,66847,76.00,28500,28549,49.00,17952,17952,0.00,9880,9880,0.00,9458,9489,31.00,156.00,0,0.00,12,12.00,8,8.00,0,0.00,0,0.00,8,8.00,12.00,26.00,26.00,26.00,26.00,26.00,69.35,132.71,96.72,0.00,11.75,44.98,10.40,0.00,0.40,,,296.96,,,,,,,0.00,20049170,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0022000008815668WP,30/11/2025,31/12/2025,02/02/2026,,,,,804.05,"VIA AUGUSTA, 36",Barcelona,Barcelona,VIA AUGUSTA,VIA AUGUSTA,,,3.0TD,ENDESA,,REAL,36995669,1407,3078,"1,671.00",2321,3704,"1,383.00",4570,4570,0.00,4084,4084,0.00,1093,1093,0.00,7457,8357,900.00,"3,954.00",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,28,28.13,27,27.56,0,0.00,0,0.00,0,0.00,24,24.03,28.13,43.65,43.65,43.65,43.65,43.65,43.65,608.74,154.00,0.00,39.02,1.89,168.85,0.00,0.40,,,972.90,,,,,,,0.00,20049060,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000042664300KX,30/11/2025,31/12/2025,02/02/2026,,,,,255.36,C/ MARTIN LUTHER KING 2-PROX,Torrejón de Ardoz,Madrid,TORREJÓN DE ARDOZ,2809 - Torrejón De Ardoz ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,176315284,10969,11208,239.00,24490,24654,164.00,6005,6005,0.00,4848,4848,0.00,3288,3288,0.00,4931,5089,158.00,561.00,86,89,3.00,173,175,2.00,111,111,0.00,233,233,0.00,162,162,0.00,254,263,9.00,14.00,3,3.45,3,3.23,0,0.00,0,0.00,0,0.00,2,2.94,3.45,43.00,43.00,43.00,43.00,43.00,43.00,85.00,151.70,0.00,12.12,6.14,53.63,0.00,0.40,,,308.99,,,,,,,0.00,20049166,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000005570367RV,30/11/2025,31/12/2025,02/02/2026,,,,,"1,833.53","Ronda de la Plazuela, 9","Rozas de Madrid, Las",Madrid,LAS ROZAS,2821 - Las Rozas ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49890787,54591,57924,"3,333.00",84817,87408,"2,591.00",42921,42921,0.00,37383,37383,0.00,16565,16565,0.00,85251,89600,"4,349.00","10,273.00",26092,27781,"1,687.00",38921,40226,"1,301.00",19178,19178,0.00,16221,16221,0.00,6100,6100,0.00,34557,36650,"2,092.00","5,080.00",69,69.94,69,69.71,0,0.00,0,0.00,0,0.00,57,57.74,69.94,60.00,60.00,60.00,60.00,60.00,60.00,"1,456.58",211.67,42.93,88.88,6.14,385.04,0.00,0.40,,,"2,218.57",,,,,,,26.93,20049202,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0031408341913001BE,30/11/2025,31/12/2025,02/02/2026,,,,,"1,772.69","Casp, 76",Barcelona,Barcelona,BARCELONA-CASP,0803 - Barcelona-Casp ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502535206,0,2182,"2,182.00",2323,3954,"1,631.00",1751,1751,0.00,734,734,0.00,573,573,0.00,2338,4469,"2,131.00","5,944.00",0,10,10.00,0,8,8.00,0,0,0.00,0,0,0.00,0,0,0.00,11,82,71.00,89.00,32,32.00,28,28.00,0,0.00,0,0.00,0,0.00,36,36.00,36.00,218.00,218.00,218.00,218.00,218.00,218.00,868.55,769.09,0.00,83.75,50.90,372.26,0.00,0.40,,,"2,144.95",,,,,,,0.00,20049149,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000012180263AN,30/11/2025,31/12/2025,02/02/2026,,,,,620.25,Calle Trinidad Redal Dufaur 53,Alzira,Valencia/València,ALZIRA,4605 - Alzira,,,3.0TD,ENDESA,,REAL,47511717,40890,42365,"1,475.00",79572,80481,909.00,33664,33664,0.00,22440,22440,0.00,11884,11884,0.00,32041,32960,919.00,"3,303.00",4106,4117,11.00,8402,8411,9.00,2708,2708,0.00,2071,2071,0.00,942,942,0.00,798,807,9.00,29.00,18,18.53,19,19.53,0,0.00,0,0.00,0,0.00,13,13.54,19.53,15.82,17.00,17.00,17.00,17.00,31.17,503.02,59.63,0.00,29.87,6.14,130.25,0.00,0.40,,,750.50,,,,,,,21.19,20049072,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031103123767004KG,30/11/2025,31/12/2025,02/02/2026,,,,,"1,746.13","Camino de Ronda, 172",Granada,Granada,GRANADA,1801 - Granada ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502509275,4562,8599,"4,037.00",8940,11705,"2,765.00",13803,13803,0.00,10330,10330,0.00,3889,3889,0.00,6774,7730,956.00,"7,758.00",3468,6300,"2,832.00",5648,7753,"2,105.00",7527,7527,0.00,3663,3663,0.00,1399,1399,0.00,997,1310,313.00,"5,250.00",60,60.00,60,60.00,0,0.00,0,0.00,0,0.00,24,24.00,60.00,75.00,75.00,75.00,75.00,75.00,75.00,"1,255.30",264.59,111.88,83.45,30.51,366.69,0.00,0.40,,,"2,112.82",,,,,,,0.00,20049137,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
