Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin impuestos (€)
N26AGN000000483,ACTIVA,NORMAL,ES0031607030989001EM,30/11/2025,31/12/2025,02/02/2026,,,,,"1,083.40","Avda. Juan XXIII, 8","Palmas de Gran Canaria, Las","Palmas, Las",LAS PALMAS,3501 - Las Palmas ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502300479,14638,14638,0.00,3999,6588,"2,589.00",11356,13075,"1,719.00",10630,10630,0.00,6309,6309,0.00,25630,27646,"2,016.00","6,324.00",3738,3738,0.00,1177,2108,931.00,3137,3767,630.00,785,785,0.00,610,610,0.00,4804,5445,641.00,"2,202.00",0,0.00,24,24.00,24,24.00,0,0.00,0,0.00,20,20.00,24.00,52.00,52.00,52.00,52.00,52.00,136.00,802.35,193.14,5.79,51.21,30.51,33.73,0.00,0.40,,,"1,117.13",,,,,,,0.00,20049074,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031405787596002EA,30/11/2025,31/12/2025,02/02/2026,,,,,"1,223.58","Av. de Pau Claris, 18",Martorell,Barcelona,MARTORELL,0819 - Martorell ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,95274975,201564,204017,"2,453.00",516740,518176,"1,436.00",99868,99868,0.00,51893,51893,0.00,62267,62267,0.00,66993,69798,"2,805.00","6,694.00",7033,7058,25.00,16300,16317,17.00,4536,4536,0.00,2153,2153,0.00,9536,9536,0.00,1555,1611,56.00,98.00,32,32.00,32,32.00,0,0.00,0,0.00,0,0.00,30,30.00,32.00,24.00,50.00,50.00,50.00,50.00,50.00,958.92,132.98,0.00,57.99,31.39,256.95,0.00,0.40,,,"1,480.53",,,,,,,41.90,20049097,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000043404144BJ,30/11/2025,31/12/2025,02/02/2026,,,,,"2,878.38","VIA AUGUSTA, 36",Barcelona,Barcelona,MÓSTOLES,2807 - Móstoles ,,,3.0TD,ENDESA,,REAL,49503756,40051,45615,"5,564.00",63533,68123,"4,590.00",38164,38164,0.00,28799,28799,0.00,12105,12105,0.00,22568,24506,"1,938.00","12,092.00",11141,11214,73.00,16169,16227,58.00,7601,7601,0.00,6387,6387,0.00,2232,2232,0.00,4199,4242,43.00,174.00,78,78.28,81,81.66,0,0.00,0,0.00,0,0.00,76,76.74,81.66,54.55,54.55,54.55,54.55,54.55,54.55,"1,913.60",192.46,0.00,139.61,8.15,604.46,0.00,0.40,,,"3,482.84",,,,,,,624.16,20049115,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0031405501056001XM,30/11/2025,31/12/2025,02/02/2026,,,,,"2,283.14","Circumval·lació, 2-4",Manresa,Barcelona,MANRESA,0807 - Manresa ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502513993,3383,8532,"5,149.00",5742,9242,"3,500.00",9699,9699,0.00,7828,7828,0.00,1633,1633,0.00,4987,6760,"1,773.00","10,422.00",2048,4672,"2,624.00",3248,5157,"1,909.00",4980,4980,0.00,3680,3680,0.00,382,382,0.00,773,1491,718.00,"5,251.00",68,68.00,76,76.00,0,0.00,0,0.00,0,0.00,64,64.00,76.00,50.00,50.00,50.00,70.00,70.00,70.00,"1,655.09",188.90,69.76,109.37,34.65,479.46,0.00,0.40,,,"2,762.60",,,,,,,224.97,20049076,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000008462392TE,30/11/2025,31/12/2025,02/02/2026,,,,,116.10,"Avda. Alacant, 60",Silla,Valencia/València,SILLA,4603 - Silla ,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,49890128,37681,37681,0.00,46348,46348,0.00,36892,36892,0.00,25466,25466,0.00,7068,7068,0.00,24238,24238,0.00,0.00,18119,18119,0.00,19717,19717,0.00,17267,17267,0.00,9380,9380,0.00,1419,1419,0.00,1752,1752,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,27.00,30.00,30.00,30.00,30.00,59.40,0.00,104.21,0.00,5.35,6.14,24.38,0.00,0.40,,,140.48,,,,,,,0.00,20049103,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0031104865918002TV,30/11/2025,31/12/2025,02/02/2026,,,,,"1,733.29",CALLE ESLAVA 014    -  LOCAL,Málaga,Málaga,MÁLAGA,2908 - Málaga ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,68528575,120469,123449,"2,980.00",249789,251940,"2,151.00",146471,146471,0.00,118124,118124,0.00,75959,75959,0.00,203787,208569,"4,782.00","9,913.00",1607,1616,9.00,2054,2062,8.00,3062,3062,0.00,3490,3490,0.00,1059,1059,0.00,5297,5335,38.00,55.00,28,28.00,28,28.00,0,0.00,0,0.00,0,0.00,24,24.00,28.00,70.00,70.00,70.00,70.00,70.00,85.00,"1,370.88",248.68,0.00,82.82,30.51,363.99,0.00,0.40,,,"2,097.28",,,,,,,0.00,20049173,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000003456324VL,30/11/2025,31/12/2025,02/02/2026,,,,,566.21,"Igarondo, 7",Tolosa,Gipuzkoa,TOLOSA,2004 - Tolosa ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49504056,30030,31236,"1,206.00",58495,59101,606.00,18351,18351,0.00,15461,15461,0.00,8314,8314,0.00,22579,23240,661.00,"2,473.00",4859,5017,158.00,9557,9603,46.00,1443,1443,0.00,1341,1341,0.00,669,669,0.00,896,908,12.00,216.00,27,27.75,27,27.50,0,0.00,0,0.00,0,0.00,24,24.03,27.75,16.00,33.00,33.00,33.00,33.00,33.00,380.94,88.04,0.00,27.14,8.15,118.90,0.00,0.40,,,685.11,,,,,,,61.54,20049195,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000006069153EW,30/11/2025,31/12/2025,02/02/2026,,,,,728.26,"Jerónimo Santa Fe, 39  Edificio San Jorge",Lorca,Murcia,LORCA,3003 - Lorca ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,35036348,47894,49809,"1,915.00",72490,73230,740.00,39327,39327,0.00,22876,22876,0.00,10075,10075,0.00,32698,33179,481.00,"3,136.00",20917,21519,464.00,27489,27735,125.00,17327,17327,0.00,7419,7419,0.00,1268,1268,0.00,2426,2431,0.00,589.00,34,34.32,34,34.29,0,0.00,0,0.00,0,0.00,14,14.41,34.32,24.00,43.60,43.60,43.60,43.60,43.60,511.47,121.08,0.00,35.12,6.14,152.93,0.00,0.40,,,881.19,,,,,,,54.05,20049158,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000011885567RS,30/11/2025,31/12/2025,02/02/2026,,,,,"1,354.18","Calle de los Hornos Caleros, 37",Ávila,Ávila,ÁVILA,0501 - Ávila,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47922588,51986,54398,"2,412.00",123623,125316,"1,693.00",60417,60417,0.00,26967,26967,0.00,22499,22499,0.00,86985,91166,"4,181.00","8,286.00",16800,17876,"1,076.00",40423,41312,889.00,14296,14296,0.00,7677,7677,0.00,6733,6733,0.00,35272,37655,"2,383.00","4,348.00",28,28.88,24,24.61,0,0.00,0,0.00,0,0.00,19,19.68,28.88,34.00,34.00,34.00,34.00,34.00,34.00,"1,134.85",119.95,25.36,65.47,8.15,284.38,0.00,0.40,,,"1,638.56",,,,,,,0.00,20049124,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0022000008443501JG,30/11/2025,31/12/2025,02/02/2026,,,,,"2,191.80","Avda. de Madrid, 28",Arganda del Rey,Madrid,ARGANDA DEL REY,2817 - Arganda Del Rey ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,45738709,98637,103087,"4,450.00",138456,141105,"2,649.00",98612,98612,0.00,69349,69349,0.00,33911,33911,0.00,164381,170430,"6,049.00","13,148.00",5560,5698,138.00,7682,7804,122.00,7434,7434,0.00,4753,4753,0.00,1843,1843,0.00,7357,7535,178.00,438.00,47,47.05,45,45.28,0,0.00,0,0.00,0,0.00,45,45.62,47.05,49.00,82.50,82.50,82.50,82.50,82.50,"1,847.02",235.12,0.00,106.47,2.79,460.28,0.00,0.40,,,"2,652.08",,,,,,,0.00,20049108,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031405422217008DK,30/11/2025,31/12/2025,02/02/2026,,,,,490.44,"Vía Augusta, 48 3-3",Barcelona,Barcelona,"VIA AUGUSTA, 48 3-3","8021 - Via Augusta, 48 ",ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,97660827,88530,89536,"1,006.00",217371,218060,689.00,83799,83799,0.00,32171,32171,0.00,27152,27152,0.00,59070,59886,816.00,"2,511.00",5482,5482,0.00,12384,12384,0.00,886,886,0.00,60,60,0.00,31,31,0.00,101,101,0.00,0.00,16,16.00,16,16.00,0,0.00,0,0.00,0,0.00,12,12.00,16.00,14.00,19.00,19.00,19.00,19.00,63.00,373.41,63.75,0.00,22.37,30.51,102.99,0.00,0.40,,,593.43,,,,,,,0.00,20049111,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031104482138003EL,30/11/2025,31/12/2025,02/02/2026,,,,,"1,052.22","Avda. Cabo de Gata, 25 . Edf. Vista Bahía",Almería,Almería,ALMERÍA,0401 - Almería,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502534235,0,1893,"1,893.00",1096,2416,"1,320.00",700,700,0.00,2625,2625,0.00,1831,1831,0.00,1926,3729,"1,803.00","5,016.00",0,845,845.00,382,1093,711.00,263,263,0.00,1852,1852,0.00,1448,1448,0.00,358,1014,656.00,"2,212.00",48,48.00,48,48.00,0,0.00,0,0.00,0,0.00,28,28.00,48.00,50.00,71.70,71.70,71.70,71.70,71.70,734.28,216.73,20.60,49.70,30.51,220.97,0.00,0.40,,,"1,273.19",,,,,,,0.00,20049126,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000015737260AJ,30/11/2025,31/12/2025,02/02/2026,,,,,"2,471.45","Avenida de Francia, 9",Guadalajara,Guadalajara,GUADALAJARA,1901 - Guadalajara ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49517217,110404,116561,"6,157.00",140245,143072,"2,827.00",74973,74973,0.00,55273,55273,0.00,19319,19319,0.00,47475,48233,758.00,"9,742.00",14261,15047,786.00,13991,14312,321.00,5743,5743,0.00,3365,3365,0.00,981,981,0.00,1917,1933,16.00,"1,123.00",84,84.99,82,82.81,0,0.00,0,0.00,0,0.00,63,63.14,84.99,65.00,65.00,65.00,65.00,65.00,65.00,"1,629.81",229.31,0.00,119.82,8.15,519.00,0.00,0.40,,,"2,990.45",,,,,,,483.96,20049070,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000000236589FP,30/11/2025,31/12/2025,02/02/2026,,,,,"1,163.38","Juan de Toledo, 1",Albacete,Albacete,ALBACETE,0201 - Albacete ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49511117,52636,55113,"2,477.00",75616,77390,"1,774.00",44735,44735,0.00,35760,35760,0.00,12380,12380,0.00,37009,37920,911.00,"5,162.00",34869,36508,"1,572.00",46995,48100,"1,052.00",24255,24255,0.00,17087,17087,0.00,3404,3404,0.00,6013,6234,85.00,"2,709.00",58,58.25,80,80.85,0,0.00,0,0.00,0,0.00,92,92.09,92.09,60.00,60.00,60.00,60.00,60.00,60.00,816.02,211.67,50.74,56.29,6.14,244.31,0.00,0.40,,,"1,407.69",,,,,,,22.12,20049144,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000005892656FF,30/11/2025,31/12/2025,02/02/2026,,,,,355.92,"Carlos III, 10-A",Cartagena,Murcia,CARTAGENA,3002 - Cartagena,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49521097,20463,21347,884.00,23717,24131,414.00,23833,23833,0.00,19986,19986,0.00,5550,5550,0.00,24600,25024,424.00,"1,722.00",6000,6157,157.00,5565,5644,79.00,7473,7473,0.00,6154,6154,0.00,940,940,0.00,2362,2371,9.00,245.00,15,15.32,15,15.07,0,0.00,0,0.00,0,0.00,12,12.97,15.32,16.00,18.00,18.00,18.00,18.00,52.00,268.29,64.08,0.00,17.01,6.14,74.74,0.00,0.40,,,430.66,,,,,,,0.00,20049080,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0031406104147001RR,30/11/2025,31/12/2025,02/02/2026,,,,,696.41,"Rambla Lluch, 15",Gavà,Barcelona,GAVÁ,0816 - Gavá ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,300018976,44650,46196,"1,546.00",57056,57990,934.00,63510,63510,0.00,62770,62770,0.00,21921,21921,0.00,26938,27433,495.00,"2,975.00",21732,22165,433.00,27447,27653,206.00,31934,31934,0.00,31348,31348,0.00,10139,10139,0.00,3112,3193,81.00,720.00,41,41.00,36,36.00,0,0.00,0,0.00,0,0.00,29,29.00,41.00,50.00,50.00,50.00,50.00,50.00,50.00,475.27,176.39,0.00,33.34,11.01,146.25,0.00,0.40,,,842.66,,,,,,,0.00,20049114,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000003468166AQ,30/11/2025,31/12/2025,02/02/2026,,,,,879.95,"Amilaga Kalea, 29",Bergara,Gipuzkoa,BERGARA,2003 - Bergara ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47931633,55720,57631,"1,911.00",106226,107096,870.00,50282,50282,0.00,20028,20028,0.00,12126,12126,0.00,54040,55418,"1,378.00","4,159.00",26394,27226,776.00,46956,47298,285.00,17682,17682,0.00,8742,8742,0.00,4040,4040,0.00,14273,14762,302.00,"1,363.00",43,43.26,42,42.66,0,0.00,0,0.00,0,0.00,40,40.77,43.26,33.00,33.00,33.00,33.00,33.00,33.00,624.58,116.43,6.04,42.40,8.15,184.79,0.00,0.40,,,"1,064.74",,,,,,,81.95,20049118,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0022000001225321ZY,30/11/2025,31/12/2025,02/02/2026,,,,,706.90,AVENIDA BARCELONA 27 - 15706,Santiago de Compostela,"Coruña, A",SANTIAGO DE COMPOSTELA,1503 - Santiago De Compostela,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,50271281,24166,25671,"1,505.00",36458,37435,977.00,25235,25235,0.00,25314,25314,0.00,10650,10650,0.00,24284,24932,648.00,"3,130.00",2,3,1.00,4,4,0.00,0,0,0.00,4,4,0.00,0,0,0.00,2,2,0.00,1.00,28,28.97,21,21.72,0,0.00,0,0.00,0,0.00,22,22.41,28.97,51.00,51.00,51.00,51.00,51.00,51.00,490.39,179.93,0.00,34.29,1.89,148.45,0.00,0.40,,,855.35,,,,,,,0.00,20049062,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031406280073002PZ,30/11/2025,31/12/2025,02/02/2026,,,,,591.85,"Av. Marià Fortuny, 2-4",Reus,Tarragona,REUS,4303 - Reus ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,51230852,70137,71579,"1,442.00",148986,149965,979.00,43720,43720,0.00,38076,38076,0.00,18436,18436,0.00,27152,27541,389.00,"2,810.00",66,67,1.00,170,170,0.00,298,298,0.00,59,59,0.00,203,203,0.00,517,517,0.00,1.00,20,20.00,28,28.00,0,0.00,0,0.00,0,0.00,20,20.00,28.00,18.00,23.00,23.00,23.00,23.00,65.00,452.06,77.64,0.00,27.10,34.65,124.29,0.00,0.40,,,716.14,,,,,,,0.00,20049185,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000012871178MF,30/11/2025,31/12/2025,02/02/2026,,,,,"1,195.85","Camino del Molino, 21",Collado Villalba,Madrid,COLLADO VILLALBA,2826 - Collado Villalba ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,47543370,64975,68264,"3,289.00",107970,109885,"1,915.00",64330,64330,0.00,46396,46396,0.00,20692,20692,0.00,64169,64965,796.00,"6,000.00",22852,24071,"1,154.00",36373,37139,711.00,22393,22393,0.00,14163,14163,0.00,6140,6140,0.00,20282,20337,0.00,"1,865.00",43,43.08,41,41.95,0,0.00,0,0.00,0,0.00,38,38.01,43.08,43.00,43.00,43.00,43.00,43.00,43.00,973.18,151.70,6.14,57.87,6.14,251.13,0.00,0.40,,,"1,446.98",,,,,,,0.42,20049175,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000009664826RQ,30/11/2025,31/12/2025,02/02/2026,,,,,"1,118.88","Avda. Sabino Arana, 33-35",Bilbao,Bizkaia,BILBAO,4801 - Bilbao ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49885964,56060,58379,"2,319.00",84659,86465,"1,806.00",60788,60788,0.00,59310,59310,0.00,23216,23216,0.00,84471,86336,"1,865.00","5,990.00",8254,8400,146.00,12205,12306,101.00,11390,11390,0.00,10304,10304,0.00,2630,2630,0.00,12114,12407,293.00,540.00,32,32.92,32,32.92,0,0.00,0,0.00,0,0.00,30,30.58,32.92,25.00,44.00,44.00,44.00,44.00,120.00,892.18,132.26,0.00,54.03,8.15,234.96,0.00,0.40,,,"1,353.84",,,,,,,31.86,20049121,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0031104239023001FP,30/11/2025,31/12/2025,02/02/2026,,,,,517.32,"CARLO GOLDONI 84, LOC",Málaga,Málaga,GUADALHORCE,2905 - Guadalhorce ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,502406134,3605,4418,813.00,3448,3934,486.00,5120,5120,0.00,4452,4452,0.00,1376,1376,0.00,6225,7293,"1,068.00","2,367.00",2117,2683,566.00,1669,1989,320.00,3440,3440,0.00,2457,2457,0.00,571,571,0.00,3249,3975,726.00,"1,612.00",24,24.00,24,24.00,0,0.00,0,0.00,0,0.00,4,4.00,24.00,27.00,33.00,33.00,33.00,33.00,63.00,333.86,109.87,19.00,23.68,30.51,108.64,0.00,0.40,,,625.96,,,,,,,0.00,20049204,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0022000008574691JW,30/11/2025,31/12/2025,02/02/2026,,,,,909.60,"CALLE EMILIA PARDO BAZAN Nº5,",Alcázar de San Juan,Ciudad Real,ALCÁZAR DE SAN JUAN,1304-Alcázar De San Juan,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,45737244,15717,17698,"1,981.00",19112,20435,"1,323.00",17095,17095,0.00,17433,17433,0.00,6308,6308,0.00,29453,30974,"1,521.00","4,825.00",62,81,19.00,83,103,20.00,35,35,0.00,33,33,0.00,8,8,0.00,621,678,57.00,96.00,30,30.98,31,31.94,0,0.00,0,0.00,0,0.00,28,28.70,31.94,40.00,40.00,40.00,40.00,40.00,40.00,721.17,141.13,0.00,44.11,2.79,191.02,0.00,0.40,,,"1,100.62",,,,,,,0.00,20049112,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000008296079ZE,30/11/2025,31/12/2025,02/02/2026,,,,,527.89,"Avda. Vicente Mortes, 100",Paterna,Valencia/València,PATERNA,4602 - Paterna ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49894434,26203,27179,976.00,41277,42112,835.00,37752,37752,0.00,38238,38238,0.00,13645,13645,0.00,64137,65084,947.00,"2,758.00",15719,16254,506.00,23154,23591,415.00,24741,24741,0.00,26015,26015,0.00,8390,8390,0.00,51868,52548,550.00,"1,471.00",15,15.76,16,16.17,0,0.00,0,0.00,0,0.00,16,16.76,16.76,20.00,22.00,22.00,22.00,22.00,60.00,403.88,78.65,13.44,25.38,6.14,110.86,0.00,0.40,,,638.75,,,,,,,0.00,20049055,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031405151382002EC,30/11/2025,31/12/2025,02/02/2026,,,,,700.93,"Montpalau, 4-6",Pineda de Mar,Barcelona,PINEDA DE MAR,0812 - Pineda De Mar,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,85125035,158212,159707,"1,495.00",377829,378706,877.00,148342,148342,0.00,59673,59673,0.00,69418,69418,0.00,79361,80169,808.00,"3,180.00",18630,18692,62.00,36916,36946,30.00,10808,10808,0.00,3692,3692,0.00,1234,1234,0.00,1638,1645,7.00,99.00,23,23.00,20,20.00,0,0.00,0,0.00,0,0.00,13,13.00,23.00,45.00,45.00,45.00,50.00,50.00,50.00,490.15,161.88,0.00,33.36,15.14,147.20,0.00,0.40,,,848.13,,,,,,,0.00,20049213,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000000033,ACTIVA,NORMAL,ES0021000010507535WM,24/11/2025,22/12/2025,01/01/2026,,,,,186.16,PG INDUSTRIAL REY JUAN CARLOS I 0,Almussafes,Valencia/València,ALMUSSAFES,4608 - Almussafes,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,45141756,43295,43663,368.00,59236,59591,355.00,15718,15998,280.00,,,0.00,,,0.00,,,0.00,"1,003.00",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,10.39,10.39,0.00,0.00,0.00,0.00,153.53,22.03,0.00,8.99,1.25,39.09,0.00,0.36,,,225.25,,,,,,,0.00,19774868,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000000031,ACTIVA,NORMAL,ES0022000007289476RG,27/11/2025,17/12/2025,01/01/2026,,,,,148.03,"Carlos Vázquez, 4  1ª Pl.",Ciudad Real,Ciudad Real,CIUDAD REAL-2,1305 - Ciudad Real 2,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,36341411,73575,73884,309.00,88834,89164,330.00,12650,12798,148.00,,,0.00,,,0.00,,,0.00,787.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,10.39,10.39,0.00,0.00,0.00,0.00,124.00,15.73,0.00,7.16,0.89,31.09,0.00,0.25,,,179.12,,,,,,,0.00,19774866,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0022000004978865AL,17/11/2025,17/12/2025,02/02/2026,,,,,781.23,"Barcelona, 37",Vigo,Pontevedra,VIGO,3601 - Vigo ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,1217494,177169,178124,955.00,450149,451726,"1,577.00",163058,163652,594.00,61343,61343,0.00,87068,87068,0.00,130663,131656,993.00,"4,119.00",56133,56450,317.00,137778,138334,556.00,44882,45062,180.00,13796,13796,0.00,21431,21431,0.00,38948,39137,189.00,"1,242.00",34,34.00,44,44.00,0,0.00,0,0.00,0,0.00,36,36.00,44.00,30.00,40.00,40.00,40.00,40.00,40.00,585.87,120.39,1.48,37.79,4.33,164.06,0.00,0.38,,,945.29,,,,,,,30.99,20049147,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
